Stage,Round,Date,Team A,Team B,A Score,B Score,Best of,Winner,Loser,Score,,,,,
PGL Copenhagen Major 2024 Europe RMR A,4 Low,16 February 2024,9Pandas,3DMAX,2,1,3,9Pandas,3DMAX,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,4 Low,16 February 2024,ENTERPRISE,SAW,0,2,3,SAW,ENTERPRISE,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,5,17 February 2024,9Pandas,AMKAL,1,2,3,AMKAL,9Pandas,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,5,17 February 2024,Fnatic,SAW,0,2,3,SAW,Fnatic,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,5,17 February 2024,EF,BetBoom,2,0,3,EF,BetBoom,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Vitality,GL,13,2,1,Vitality,GL,73%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Mouz,Guild.E,9,13,1,Guild.E,Mouz,18%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Spirit,ENCE,13,0,1,Spirit,ENCE,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Monte,ECSTATIC,9,13,1,ECSTATIC,Monte,18%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Apeks,OG,13,5,1,Apeks,OG,44%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,C9,Pera,13,3,1,C9,Pera,63%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Astralis,Nexus,13,5,1,Astralis,Nexus,44%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Preasy,HEROIC,9,13,1,HEROIC,Preasy,18%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,2 High,19 February 2024,C9,Apeks,13,10,1,C9,Apeks,13%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,2 High,19 February 2024,Mouz,ECSTATIC,13,8,1,Mouz,ECSTATIC,24%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,2 High,19 February 2024,Vitality,HEROIC,13,3,1,Vitality,HEROIC,63%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,2 High,19 February 2024,Spirit,Astralis,13,11,1,Spirit,Astralis,8%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,2 Low,19 February 2024,Guild.E,ENCE,6,13,1,ENCE,Guild.E,37%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,2 Low,19 February 2024,GL,Pera,13,6,1,GL,Pera,37%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,2 Low,19 February 2024,Preasy,OG,9,13,1,OG,Preasy,18%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,2 Low,19 February 2024,Monte,Nexus,13,9,1,Monte,Nexus,18%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,3 High,20 February 2024,Vitality,C9,1,2,3,C9,Vitality,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,3 High,20 February 2024,Spirit,Mouz,0,2,3,Mouz,Spirit,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,3 Mid,20 February 2024,Apeks,Monte,13,5,1,Apeks,Monte,44%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,3 Mid,20 February 2024,ECSTATIC,OG,13,11,1,ECSTATIC,OG,8%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,3 Mid,20 February 2024,GL,ENCE,14,16,1,ENCE,GL,7%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,3 Mid,20 February 2024,Astralis,HEROIC,7,13,1,HEROIC,Astralis,30%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,3 Low,20 February 2024,Guild.E,Nexus,2,1,3,Guild.E,Nexus,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,3 Low,20 February 2024,Pera,Preasy,1,2,3,Preasy,Pera,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,4 High,21 February 2024,Apeks,ECSTATIC,2,1,3,Apeks,ECSTATIC,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,4 High,21 February 2024,Vitality,ENCE,2,0,3,Vitality,ENCE,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,4 High,21 February 2024,Spirit,HEROIC,2,0,3,Spirit,HEROIC,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,4 Low,21 February 2024,Monte,Astralis,1,2,3,Astralis,Monte,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,4 Low,21 February 2024,OG,GL,0,2,3,GL,OG,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,4 Low,21 February 2024,Guild.E,Preasy,2,1,3,Guild.E,Preasy,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,5,22 February 2024,ENCE,Astralis,2,0,3,ENCE,Astralis,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,5,22 February 2024,ECSTATIC,Guild.E,2,1,3,ECSTATIC,Guild.E,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,5,22 February 2024,HEROIC,GL,2,0,3,HEROIC,GL,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,1,01 March 2024,FURIA,Nouns,13,9,1,FURIA,Nouns,18%,,,,,
PGL Copenhagen Major 2024 Americas RMR,1,01 March 2024,COL,Elevate,13,6,1,COL,Elevate,37%,,,,,
PGL Copenhagen Major 2024 Americas RMR,1,01 March 2024,M80,ODDIK,13,10,1,M80,ODDIK,13%,,,,,
PGL Copenhagen Major 2024 Americas RMR,1,01 March 2024,MIBR,BOSS,9,13,1,BOSS,MIBR,18%,,,,,
PGL Copenhagen Major 2024 Americas RMR,1,01 March 2024,paiN,Legacy,13,2,1,paiN,Legacy,73%,,,,,
PGL Copenhagen Major 2024 Americas RMR,1,01 March 2024,RED,Wildcard,13,1,1,RED,Wildcard,86%,,,,,
PGL Copenhagen Major 2024 Americas RMR,1,01 March 2024,BESTIA,Liquid,11,13,1,Liquid,BESTIA,8%,,,,,
PGL Copenhagen Major 2024 Americas RMR,1,01 March 2024,Imperial,NRG,13,2,1,Imperial,NRG,73%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 High,02 March 2024,COL,BOSS,13,10,1,COL,BOSS,13%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 High,02 March 2024,paiN,RED,13,10,1,paiN,RED,13%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 High,02 March 2024,FURIA,Liquid,13,10,1,FURIA,Liquid,13%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 High,02 March 2024,M80,Imperial,3,13,1,Imperial,M80,63%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 Low,02 March 2024,MIBR,NRG,2,0,3,MIBR,NRG,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 Low,02 March 2024,BESTIA,Wildcard,0,2,3,Wildcard,BESTIA,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 Low,02 March 2024,Nouns,Legacy,1,2,3,Legacy,Nouns,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 Low,02 March 2024,Elevate,ODDIK,1,2,3,ODDIK,Elevate,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 High,03 March 2024,paiN,Imperial,0,2,3,Imperial,paiN,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 High,03 March 2024,FURIA,COL,2,1,3,FURIA,COL,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 Low,03 March 2024,M80,Wildcard,2,1,3,M80,Wildcard,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 Low,03 March 2024,BOSS,Liquid,0,2,3,Liquid,BOSS,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 Low,03 March 2024,RED,ODDIK,1,2,3,ODDIK,RED,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 Low,03 March 2024,Legacy,MIBR,2,0,3,Legacy,MIBR,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,4,04 March 2024,paiN,ODDIK,2,0,3,paiN,ODDIK,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,4,04 March 2024,M80,Legacy,1,2,3,Legacy,M80,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,4,04 March 2024,COL,Liquid,2,1,3,COL,Liquid,33%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 High,26 February 2024,The MongolZ,Myth Avenue,13,4,1,The MongolZ,Myth Avenue,53%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 High,26 February 2024,ATOX Esports,Grayhound Gaming,4,13,1,Grayhound Gaming,ATOX Esports,53%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 High,26 February 2024,TYLOO,JiJieHao,13,11,1,TYLOO,JiJieHao,8%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 High,26 February 2024,Twisted Minds,Lynn Vision Gaming,7,13,1,Lynn Vision Gaming,Twisted Minds,30%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 Low,27 February 2024,Myth Avenue,ATOX Esports,0,2,3,ATOX Esports,Myth Avenue,100%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 Low,27 February 2024,JiJieHao,Twisted Minds,2,0,3,JiJieHao,Twisted Minds,100%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2 High,26 February 2024,The MongolZ,Grayhound Gaming,13,4,1,The MongolZ,Grayhound Gaming,53%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2 High,26 February 2024,TYLOO,Lynn Vision Gaming,6,13,1,Lynn Vision Gaming,TYLOO,37%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2 Low,27 February 2024,TYLOO,ATOX Esports,1,2,3,ATOX Esports,TYLOO,33%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2 Low,27 February 2024,Grayhound Gaming,JiJieHao,2,0,3,Grayhound Gaming,JiJieHao,100%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2.5 Low,28 February 2024,ATOX Esports,Grayhound Gaming,1,2,3,Grayhound Gaming,ATOX Esports,33%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,3 High,28 February 2024,The MongolZ,Lynn Vision Gaming,2,0,3,The MongolZ,Lynn Vision Gaming,100%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,3 Low,28 February 2024,Lynn Vision Gaming,Grayhound Gaming,2,1,3,Lynn Vision Gaming,Grayhound Gaming,33%,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
